transit_score,transit_score_delta,filename,link_id
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_25529,25529
16952359548,7918,/home/mwbc/ped-transit-data/networks/links/link_id_25549,25549
16952870141,518511,/home/mwbc/ped-transit-data/networks/links/link_id_25721,25721
16952372762,21132,/home/mwbc/ped-transit-data/networks/links/link_id_25736,25736
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_25776,25776
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_25857,25857
16953987967,1636337,/home/mwbc/ped-transit-data/networks/links/link_id_25880,25880
16954061616,1709986,/home/mwbc/ped-transit-data/networks/links/link_id_25894,25894
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_25922,25922
16952446996,95366,/home/mwbc/ped-transit-data/networks/links/link_id_2600,2600
16953162115,810485,/home/mwbc/ped-transit-data/networks/links/link_id_2615,2615
16964133898,11782268,/home/mwbc/ped-transit-data/networks/links/link_id_2620,2620
16957271486,4919856,/home/mwbc/ped-transit-data/networks/links/link_id_26202,26202
16953131336,779706,/home/mwbc/ped-transit-data/networks/links/link_id_26223,26223
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_2623,2623
16952382637,31007,/home/mwbc/ped-transit-data/networks/links/link_id_26287,26287
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_26326,26326
16952622511,270881,/home/mwbc/ped-transit-data/networks/links/link_id_26396,26396
16952409510,57880,/home/mwbc/ped-transit-data/networks/links/link_id_26423,26423
16952457242,105612,/home/mwbc/ped-transit-data/networks/links/link_id_26519,26519
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_26524,26524
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_26562,26562
16953385460,1033830,/home/mwbc/ped-transit-data/networks/links/link_id_2659,2659
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_26590,26590
16953047305,695675,/home/mwbc/ped-transit-data/networks/links/link_id_26659,26659
16954839247,2487617,/home/mwbc/ped-transit-data/networks/links/link_id_26743,26743
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_2689,2689
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_26947,26947
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_27015,27015
16952553471,201841,/home/mwbc/ped-transit-data/networks/links/link_id_27058,27058
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_27142,27142
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_27195,27195
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_27229,27229
16954098861,1747231,/home/mwbc/ped-transit-data/networks/links/link_id_27267,27267
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_27381,27381
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_2740,2740
16952380935,29305,/home/mwbc/ped-transit-data/networks/links/link_id_27402,27402
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_27424,27424
17010496011,58144381,/home/mwbc/ped-transit-data/networks/links/link_id_27690,27690
16952352779,1149,/home/mwbc/ped-transit-data/networks/links/link_id_27732,27732
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_27770,27770
16952351973,343,/home/mwbc/ped-transit-data/networks/links/link_id_27822,27822
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_27904,27904
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_27949,27949
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_27951,27951
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_27959,27959
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_27982,27982
16952353051,1421,/home/mwbc/ped-transit-data/networks/links/link_id_28229,28229
16953714748,1363118,/home/mwbc/ped-transit-data/networks/links/link_id_28230,28230
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_28279,28279
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_2829,2829
16952351719,89,/home/mwbc/ped-transit-data/networks/links/link_id_28356,28356
16952508479,156849,/home/mwbc/ped-transit-data/networks/links/link_id_28378,28378
16953102854,751224,/home/mwbc/ped-transit-data/networks/links/link_id_28460,28460
16955706109,3354479,/home/mwbc/ped-transit-data/networks/links/link_id_28523,28523
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_2855,2855
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_28556,28556
16952367761,16131,/home/mwbc/ped-transit-data/networks/links/link_id_2876,2876
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_28861,28861
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_28942,28942
16953530801,1179171,/home/mwbc/ped-transit-data/networks/links/link_id_28990,28990
16952800921,449291,/home/mwbc/ped-transit-data/networks/links/link_id_29063,29063
16952351692,62,/home/mwbc/ped-transit-data/networks/links/link_id_29072,29072
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_29233,29233
16952356021,4391,/home/mwbc/ped-transit-data/networks/links/link_id_29256,29256
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_2926,2926
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_29273,29273
16952392850,41220,/home/mwbc/ped-transit-data/networks/links/link_id_29332,29332
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_29376,29376
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_29386,29386
16953889475,1537845,/home/mwbc/ped-transit-data/networks/links/link_id_29457,29457
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_29571,29571
16952411480,59850,/home/mwbc/ped-transit-data/networks/links/link_id_29590,29590
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_29696,29696
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_29727,29727
16952357022,5392,/home/mwbc/ped-transit-data/networks/links/link_id_29794,29794
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_29932,29932
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_30029,30029
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_30136,30136
16952819848,468218,/home/mwbc/ped-transit-data/networks/links/link_id_30175,30175
16952448336,96706,/home/mwbc/ped-transit-data/networks/links/link_id_30189,30189
16952627850,276220,/home/mwbc/ped-transit-data/networks/links/link_id_30336,30336
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_30369,30369
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_30393,30393
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_30445,30445
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_30631,30631
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_3065,3065
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_30672,30672
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_30699,30699
16952353251,1621,/home/mwbc/ped-transit-data/networks/links/link_id_30747,30747
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_3078,3078
16953878123,1526493,/home/mwbc/ped-transit-data/networks/links/link_id_30805,30805
